side_effect,compound
db00975,c0020649
db01267,c0001430
db01197,c0022661
db06589,c0151539
db00642,c0206062
db00734,c0021775
db00291,c0030312
db00969,c0863090
db01208,c0040409
db00558,c0518015
db00690,c1443060
db00977,c0520588
db01184,c0039971
db00726,c0000737
db01238,c0080274
db01120,c0085631
db01324,c0011991
db00798,c0023530
db01610,c0085682
db00624,c0003621
db01137,c0151735
db01048,c0040034
db01398,c0232487
db00538,c0032285
db00564,c0340726
db00441,c2047937
db00413,c0014869
db01229,c0549567
db00749,c0030305
db01118,c0085661
db01104,c0014518
db00448,c0011849
db00744,c0232492
db00014,c0014130
db00327,c0151740
db00373,c0086981
db00231,c0424296
db00230,c0553721
db01100,c0003123
db00332,c0000737
db00480,c0855652
db08889,c0027497
db00975,c0034063
db00684,c0235710
db00195,c0013604
db00575,c0014394
db04845,c0242698
db01118,c0024437
db01186,c0023449
db01189,c1384353
db00934,c0234133
db08930,c0020517
db01037,c0151970
db00187,c3665347
db00591,c0030193
db00669,c0009946
db00806,c0003123
db00603,c0009676
db00238,c0026636
db00185,c0037036
db00996,c0016658
db00591,c0002170
db08901,c0024312
db01390,c0011168
db00665,c0002170
db00673,c1096034
db00185,c0016867
db01137,c0029944
db00243,c0687713
db00358,c0221470
db00395,c0019521
db00690,c0039070
db00808,c0085605
db00243,c0040264
db00242,c0034642
db01215,c0235146
db01248,c0020625
db00297,c0037763
db00484,c0021053
db00193,c0235996
db00758,c0016470
db00366,c0020458
db01202,c3263723
db00315,c0020651
db00854,c0013428
db00555,c0011053
db00778,c0012833
db00422,c0002871
db00530,c0015672
db08901,c1527344
db04911,c0020615
db00544,c0018681
db01656,c0027769
db00962,c0240322
db01141,c0232492
db00953,c0232461
db00813,c0266998
db00905,c0086543
db00145,c0220870
db00700,c0151746
db01656,c0001339
db00485,c0030312
db01073,c0700590
db00992,c0015672
db00584,c0015230
db00193,c0017181
db00706,c0235969
db00492,c0011124
db00564,c0856171
db00843,c0004936
db06589,c0600142
db01041,c0023895
db08906,c0027497
db00425,c0027497
db00673,c0235032
db01320,c0035455
db08912,c0870082
db00829,c0424295
db06802,c0152227
db00401,c0004238
db00200,c0011168
db00760,c0392386
db01077,c0221204
db00790,c0917801
db01400,c0235710
db00381,c0027497
db06228,c0232492
db01101,c0149871
db00808,c0037199
db01023,c1096286
db08884,c0012359
db01101,c0239946
db00586,c0014457
db00814,c0020517
db01551,c0038587
db00703,c0014742
db01181,c0001122
db00973,c0011603
db00186,c0522224
db01039,c0020649
db00187,c0232431
db00268,c0522224
db06717,c0037284
db00547,c0152459
db00425,c0033774
db01223,c0232492
db00501,c0231218
db01143,c0013404
db00441,c0009450
db00831,c0002878
db01104,c0042384
db08910,c0750394
db00630,c0030193
db01029,c0157733
db00916,c0009782
db01175,c0541798
db04573,c0015230
db00811,c0036689
db00230,c0521591
db00721,c0036830
db00764,c0027497
db01098,c0574067
db01101,c0016382
db08884,c0011603
db00982,c0042384
db00788,c0021053
db01337,c0020517
db00989,c0877661
db00943,c0026848
db00811,c0037763
db00493,c0038826
db00440,c0023530
db00262,c0231528
db00844,c0042963
db00862,c0036572
db00297,c0522055
db01273,c0042075
db00688,c0017178
db01137,c0003962
db00442,c0022951
db00853,c0004936
db00656,c0002170
db06155,c0085633
db06268,c0311468
db00715,c0010200
db01193,c0236075
db00685,c0039231
db00492,c0034150
db00619,c0948525
db00783,c0016977
db01072,c0018794
db00556,c0030252
db00476,c0016382
db00603,c0085633
db01261,c0267792
db02546,c0085649
db00204,c0035243
db00762,c0038362
db00181,c0022650
db01077,c0029442
db00899,c1258215
db00582,c0948586
db01175,c0042963
db00622,c0520887
db00244,c1167732
db00997,c0852990
db01018,c0232495
db00619,c0021843
db04896,c0004093
db00480,c0476273
db06716,c1306571
db01367,c0010200
db00435,c0040034
db00976,c0428974
db04845,c0152025
db01013,c0020555
db00341,c1510410
db00582,c0009421
db00563,c0600260
db01129,c0085610
db00273,c0236018
db04839,c0002878
db06155,c0019521
db01367,c0022346
db00934,c0013144
db00939,c0011606
db01208,c0151827
db00757,c0041657
db01583,c0030554
db00876,c0151826
db01037,c0162429
db00315,c0236071
db00623,c0015371
db00642,c0392386
db00262,c0151740
db01397,c0042963
db00295,c0021400
db01009,c0013595
db00582,c0002878
db06287,c0000737
db08899,c0011991
db00716,c0010200
db00910,c0009450
db00381,c0013604
db06605,c0265031
db00907,c1325847
db00227,c0031117
db00597,c0151828
db00721,c0259756
db00762,c0034882
db01320,c0243026
db00448,c0262397
db00404,c0948594
db00248,c0553713
db01203,c0017152
db00716,c0015230
db00690,c0041657
db00178,c0043352
db01118,c0575081
db01073,c0031542
db00484,c0015672
db01120,c0042109
db00425,c0002962
db01053,c0340865
db01238,c0009193
db00624,c0521491
db05294,c0162119
db06213,c2939147
db00326,c1142412
db01261,c0021400
db08918,c0030252
db00188,c0232197
db00203,c0003467
db01095,c0040822
db01140,c0518015
db00743,c0003862
db00559,c0008031
db00877,c1384353
db00220,c0085633
db00742,c0851341
db00757,c0232333
db00743,c0151754
db00185,c0235639
db01002,c0235086
db01141,c0020615
db00482,c0040264
db01198,c0029882
db00353,c0002962
db00307,c0020433
db00555,c0004936
db00478,c0027769
db00740,c0028734
db00495,c0948594
db00444,c0085593
db00999,c0600260
db06777,c0023052
db00216,c2830004
db00091,c0036690
db01137,c0041976
db01101,c0003811
db06605,c1262109
db00678,c0038999
db01255,c0018681
db00758,c0025061
db01265,c0017178
db00513,c0026848
db01024,c0007097
db00370,c0027497
db01273,c0162298
db00991,c0040034
db00906,c0019080
db01268,c0021308
db00371,c0085932
db01440,c0002170
db00813,c0023218
db00305,c0023530
db00459,c0149836
db01362,c0042420
db00650,c0031117
db01042,c0011615
db00977,c0002170
db00989,c0017152
db00268,c0158266
db00947,c0030554
db00215,c0019158
db00195,c0004936
db00503,c0042109
db01356,c0020569
db00252,c0409974
db00704,c0002170
db00717,c0233494
db01085,c0234458
db04844,c0028768
db00287,c0036454
db08896,c0085682
db01037,c0041582
db01101,c0030446
db00943,c0011606
db01273,c1527344
db00377,c0270996
db08912,c0030354
db01101,c0151766
db00968,c0011124
db00503,c0162292
db00194,c0234215
db00734,c0020672
db00188,c0019158
db00668,c0018524
db00734,c0003811
db01118,c0031117
db00399,c0042029
db00724,c0042994
db00332,c0422974
db00973,c0042769
db00301,c0009319
db01255,c0011603
db01186,c0009450
db01189,c0919823
db01273,c0155003
db00742,c0520837
db01104,c0017566
db08873,c0007971
db01232,c0006277
db01165,c0041969
db00938,c0042514
db00200,c1096343
db00938,c0700184
db00193,c0553702
db00328,c0018834
db00497,c0085932
db06817,c0029118
db01026,c0002170
db00974,c0151904
db00388,c0042963
db00612,c3665386
db06637,c1384353
db00285,c0030232
db00523,c0037928
db00327,c0233407
db01420,c0687713
db00828,c0004096
db00910,c0022661
db00338,c0851341
db00244,c0235378
db00939,c0002170
db00591,c0858708
db08912,c0020461
db08930,c0178298
db01320,c0151766
db00230,c0409974
db00668,c0027540
db00590,c0009806
db00273,c0233407
db00869,c0242350
db00749,c0000731
db04574,c2609183
db00589,c0497327
db00635,c2987469
db00760,c0018681
db01213,c0541799
db00091,c0042029
db01184,c0042109
db01039,c0011615
db01397,c0085620
db08865,c0860207
db00564,c0263540
db00413,c0014335
db01346,c0027497
db00920,c0233494
db01268,c0151578
db00977,c0241669
db00999,c0858589
db01136,c0233472
db01179,c0241069
db00313,c1142412
db00916,c0037274
db01072,c0043144
db01217,c0227791
db01222,c0038450
db00410,c0005741
db00408,c0006266
db01175,c0013428
