side_effect,compound
db08911,c0025202
db00523,c0014236
db00193,c0876980
db00590,c0240717
db01044,c0030332
db01009,c0233477
db05521,c0015230
db06287,c0013404
db04843,c0030252
db00715,c0438717
db00956,c0857353
db00234,c0012569
db01440,c0393760
db00983,c0043352
db00468,c0027497
db00779,c0340865
db00459,c0085271
db01043,c0034065
db00880,c0042109
db00869,c0235966
db00399,c0042963
db00246,c2240374
db00286,c0004096
db01097,c0002418
db01234,c0011603
db01142,c0034150
db00540,c0086565
db01177,c0400823
db00296,c0235839
db00136,c0020538
db01149,c0158350
db00601,c0020625
db00818,c0233472
db00280,c0917801
db00544,c1443060
db00611,c0000737
db00104,c0027765
db00804,c0013144
db01186,c0085649
db00853,c0014742
db00572,c0553721
db00938,c0017601
db00303,c0037763
db00091,c0006266
db00014,c0178298
db00531,c0153619
db00567,c0267792
db01024,c0003862
db00625,c0013378
db01274,c0020456
db01104,c0037822
db00380,c0518015
db00681,c0019112
db00193,c0235490
db00564,c0016655
db00370,c0232462
db00908,c0019054
db00625,c0005758
db01208,c0010200
db00724,c0237849
db00710,c3263723
db00738,c0028081
db01105,c0151826
db01118,c0687713
db01149,c0014591
db00745,c0015672
db00862,c0025061
db00195,c0010692
db00282,c0033774
db00651,c0011991
db01175,c0011849
db00843,c0740319
db00262,c0018418
db01115,c0023222
db01050,c0018926
db01160,c0018965
db00705,c0003123
db01118,c0002962
db00727,c0033774
db06237,c0376358
db00343,c0012833
db00195,c0030193
db00549,c0086565
db00544,c0878544
db06817,c0043345
db00188,c0015734
db00733,c0344232
db01238,c0234953
db00014,c0085129
db00399,c0012833
db00457,c0018524
db01149,c0424000
db00877,c0080274
db01192,c0020538
db00899,c0004239
db00469,c0018799
db04573,c0343863
db01211,c0035078
db00486,c0018524
db00480,c0002170
db01590,c0030312
db04911,c0042963
db00482,c0018772
db00268,c0029456
db01137,c0028738
db00928,c0549335
db00783,c0007117
db01133,c0231528
db01267,c0235660
db00783,c0497327
db00685,c0011124
db00413,c0015967
db00734,c0151564
db00538,c0003862
db00482,c0231528
db00338,c0043094
db04896,c0042373
db00445,c0027651
db01393,c0151766
db00344,c0003123
db00285,c0740425
db00684,c0022568
db00290,c0239026
db00530,c0085641
db01149,c0948594
db08866,c0043094
db00316,c0392025
db01175,c0019112
db00343,c0003813
db01217,c0042029
db01010,c0015644
db00656,c0022354
db01226,c0025061
db00258,c0428977
db00358,c0013604
db00518,c0018681
db00666,c0042024
db00949,c0032045
db00271,c0041657
db00317,c0018799
db01197,c2712122
db00736,c0013404
db00303,c0404521
db00584,c0085605
db00743,c0235639
db00193,c2240374
db00945,c0013144
db00529,c0011175
db00927,c0271468
db01205,c0042571
db00244,c0027441
db06817,c1280433
db01129,c0403632
db00976,c1443060
db00234,c0025345
db00459,c0241863
db00850,c0011616
db00244,c0852908
db00828,c0030554
db00218,c0235710
db01238,c0022107
db01074,c0030353
db00402,c0002792
db00594,c0027497
db06702,c0850149
db00909,c0011570
db00496,c0042963
db00947,c0151662
db01156,c0020522
db00465,c1761613
db00928,c0013404
db06201,c0162429
db06216,c0037036
db01229,c0040264
db00743,c0020580
db04574,c0269189
db00328,c0162281
db00715,c0863093
db00320,c0035357
db01044,c0008031
db01030,c0040034
db00921,c0037763
db00459,c0011991
db00258,c0020437
db00763,c0854359
db01240,c0085593
db00843,c0035078
db00285,c0040136
db00264,c0242461
db00584,c0011606
db00962,c0011570
db00563,c0162830
db00834,c0423791
db00808,c0404521
db01156,c0035243
db00184,c0027497
db00966,c0023895
db00853,c0521839
db00286,c0086565
db00218,c0233632
db08907,c0546884
db01035,c0429097
db06209,c0151699
db06777,c0011175
db00176,c0085136
db00176,c0151899
db00483,c0151468
db00590,c0235198
db00842,c0013144
db00251,c0033774
db01030,c0235818
db00624,c0002453
db00425,c0034063
db00193,c0852733
db00804,c1704272
db00413,c0014591
db00927,c0428977
db00193,c0011615
db00755,c0042963
db00959,c1960509
db00436,c1368065
db06699,c0151786
db00857,c0009676
db00404,c0004936
db00882,c0015967
db01186,c3665386
db00472,c1384606
db00344,c0040034
db00624,c0002957
db00742,c0030196
db00547,c0026113
db00967,c0235996
db00722,c0011175
db01198,c0037822
db00943,c0231919
db01115,c0020651
db00641,c0002878
db00091,c0042594
db00369,c0002418
db00683,c0234535
db01234,c0231218
db06715,c0522055
db01416,c0002871
db00910,c0438215
db00332,c0027424
db01111,c0232487
db01224,c0027849
db00590,c0019270
db00539,c0314719
db00367,c0011616
db00590,c3665386
db00398,c0009782
db00468,c0235095
db00586,c0006277
db00230,c0039231
db00290,c0041582
db08881,c0027651
db06204,c0013395
db00806,c0027769
db00543,c0221490
db00247,c0040046
db08865,c0009806
db00195,c0011603
db00396,c0220870
db00909,c0032617
db01273,c0009763
db00843,c0027497
db06288,c0002453
db00684,c3665347
db01030,c0020580
db00239,c0041834
db01003,c0034150
db00582,c0162557
db00784,c0009319
db00425,c0042023
db01105,c0085649
db00425,c0009676
db01043,c0428974
db00620,c0332601
db00908,c0036572
db00705,c0013404
db01101,c1963951
db00745,c0151315
db00248,c0003123
db00313,c0027651
db01590,c0497365
db00573,c0030305
db00335,c0018800
db00843,c0020580
db01216,c0162311
db00811,c0917798
db01024,c0033036
db00822,c0151827
db00558,c0003123
db00317,c0033687
db00909,c0039231
db00491,c0021933
db08816,c3160769
db01195,c0032285
db00669,c0009676
db00315,c0040264
db00624,c0151904
db00652,c0002792
db00921,c0026205
db01156,c0006266
db00316,c0221201
db01238,c0231528
db00175,c0948594
db01224,c0428977
db00694,c0853813
db00989,c0521491
db01238,c0687713
db00472,c0740319
db00705,c0036508
db01186,c0451641
db06817,c1720775
db00203,c0456909
db01016,c0018834
db06151,c1306341
db01189,c0039231
db00518,c0011603
db00233,c0003123
db00864,c0030312
db00738,c0085633
db00425,c0017178
db04839,c0268000
db00864,c0012739
db01137,c0011175
db00973,c0042963
db00218,c0027497
db01171,c0231218
db00425,c1142135
db01211,c2047937
db01175,c1262144
db01095,c0002170
db01023,c0026821
db00959,c0338831
db00348,c0151908
db00268,c0042134
db00014,c0018801
db01346,c0409974
db00327,c0740858
db00603,c0027813
db00640,c0036572
db00366,c0948807
db01120,c0027497
db00476,c0152128
db00398,c2939186
db00404,c0235097
db00540,c0018681
db08899,c0027765
db01095,c2239176
db01175,c0006266
db00666,c0231919
db01037,c0034063
db00924,c0234215
db01104,c0428974
db00295,c0042514
db01042,c0151942
db01600,c0043094
db01137,c0151878
db00450,c0235660
db00248,c0032227
db00850,c0234238
db01023,c0085649
db00530,c0851341
db00285,c0853149
db00246,c0032285
db00982,c0003864
db01273,c0032781
db00659,c0235416
db01141,c0340865
db04845,c0854080
db00787,c0042109
db00185,c3665386
db00928,c0032781
db01205,c0015230
db00275,c0041349
db00972,c0521839
db06700,c0741553
db01115,c0424790
db01181,c1095923
db00721,c0042963
db06151,c0027441
db08901,c0040034
db00188,c0032131
db00818,c0152128
db00199,c0020517
db01192,c0000737
db00285,c0006325
db00495,c0033774
db00273,c1457883
db00285,c0010520
db01200,c0023380
db00588,c0006266
db00341,c3665386
db00959,c0270994
db06268,c1510431
db00448,c0027769
db00324,c0015403
db00195,c0497201
db00445,c0021400
db00341,c0036454
db00035,c0268000
db01401,c0027497
db06777,c0151905
db00285,c0020877
db00225,c0025222
db01410,c0235259
db00448,c0017601
db00268,c0494559
db02638,c0040479
db00966,c0013595
db01118,c0004093
db00433,c0520806
db00315,c1740836
db01324,c0042384
db00472,c0036416
db00285,c0029191
db04572,c0019080
db00153,c0022661
db01175,c0162429
db01068,c0085633
db01037,c0575081
db00783,c0237849
db00833,c0004093
db01141,c0030312
db00494,c0518015
db01238,c0017675
db00243,c0016204
db01131,c0038362
db00790,c0013491
db00230,c0235063
db06817,c0011603
db00104,c0043096
db00997,c0018681
db06781,c0022073
db00268,c0235437
db00397,c0018524
db00788,c0267596
db01005,c0018681
db00757,c0085649
db00829,c0001807
db00715,c0233472
db00531,c0037928
db01330,c0027497
db00215,c0232431
db00104,c0267792
db01232,c0043037
db00445,c0600142
db00507,c0030794
db00928,c0041912
db00502,c0011071
db08815,c0037036
db00238,c0021655
db00678,c0030469
db00408,c0085631
db00722,c0043144
db00242,c0022660
db01262,c0019112
db00401,c0016242
db00582,c0086565
db00993,c1266194
db00760,c2830004
db00528,c0015230
db01119,c0018965
db00297,c0178298
db00337,c0002792
db00273,c0005779
db00239,c0030554
db00460,c0877359
db00271,c0085618
db00770,c0234215
db08860,c2047937
db00388,c0040822
db00327,c0520966
db00675,c0574067
db00916,c0028643
db00710,c0004604
db01346,c0036454
db00776,c1368065
db00494,c0018681
db01233,c0023066
db01591,c0043352
db00563,c0231528
db00990,c0241633
db00537,c0520966
db00443,c0014868
db01008,c0027765
db00997,c0235431
db00442,c0003962
db00877,c0438215
db00624,c0032461
db00715,c0034067
db01008,c0020621
db00806,c0178298
db00563,c0004093
db00227,c0002622
db01129,c0162830
db00811,c0423791
db00458,c0087169
db00273,c0035243
db00755,c0006266
db00762,c0274702
db00864,c0020437
db00494,c0013384
db06204,c0428977
db01240,c0000731
db01327,c0036974
db01222,c0085631
db01210,c0008031
db00704,c0017168
db00709,c0002874
db00904,c0038325
db00966,c0232487
db00215,c0014457
db01595,c0001957
db00313,c0012569
db00544,c0948089
db00270,c0232459
db01075,c0080274
db00877,c0017152
db00697,c0151766
db00627,c0151603
db08816,c0004093
db00705,c0085636
db00700,c0035078
db01409,c0042963
db08947,c0853800
db00563,c0085660
db01137,c0600142
db01203,c0015230
db04876,c0085649
db00745,c0003862
db06777,c0404521
db00344,c0028084
db00999,c0036974
db00681,c0239981
db00714,c0020649
db00585,c0031350
db00327,c0085632
db01226,c0039231
db01156,c0272426
db01339,c0016382
db06287,c0702166
db00316,c0231530
db01211,c0424295
db00184,c0003862
db00216,c0026848
db00879,c0948594
db00313,c0002453
db01043,c0151904
db06201,c0013395
db04574,c0034150
db00648,c0152025
db00440,c0151798
db00963,c0010037
db00271,c0853800
db00396,c0233407
db01265,c0009782
db00246,c0151610
db00820,c0010200
db00577,c0009421
db00917,c0013404
db00424,c0234518
db01238,c0973461
db01160,c0011603
db01181,c1411873
db01175,c0234987
db00904,c0340865
db00246,c0024236
db00649,c0030193
db01229,c0332575
db01035,c2047937
db00184,c0042963
db00313,c0002994
db00648,c0013362
db00917,c0041657
db01175,c0080274
db00273,c0013687
db00906,c0085096
db08910,c1443060
db00492,c0035455
db00501,c0235378
db00320,c0020649
db00297,c0269596
db00709,c0877192
db00181,c0234518
db00285,c0085636
db00889,c0030193
db00647,c0013144
db00490,c0855242
db00925,c0232487
db00997,c0232200
db00989,c0005741
db00644,c0009806
db00390,c0233471
db00338,c0004763
db00282,c0033975
db00715,c0033117
db01202,c0038325
db01175,c0037199
db00977,c0518015
db00381,c0042109
db01267,c0043049
db00253,c0042769
db00436,c0011849
db01006,c0853662
db00921,c0011991
db08911,c0006826
db00998,c1368065
db01196,c0085633
db00472,c0024902
db04938,c1112274
db00520,c0240671
db00465,c0542571
db01624,c0036572
db00746,c0037763
db01208,c0423791
db01144,c0022650
db00445,c0013922
db00369,c0013428
db01212,c0836924
db00215,c0037278
db00916,c0000731
db00472,c0027651
db00907,c0040822
db00818,c0233632
db01203,c0013604
db00783,c0042256
db00322,c0031350
db00313,c0012833
db00327,c1135120
db01274,c0027651
db08865,c0178298
db00385,c0152030
db01020,c0032617
db01610,c0015397
db00501,c0858678
db00476,c0013781
db00644,c0549383
db00271,c0002792
db00362,c0085615
db00471,c0017178
db00582,c0234133
db00635,c0032827
db00343,c0151205
db00570,c0028738
db00996,c0392699
db00268,c0221706
db08884,c0007642
db00369,c0020651
db00542,c2830004
db00833,c0853034
db00917,c0042996
db00762,c0009450
db01235,c0042029
db01050,c0013362
db01016,c0003862
db00818,c0948089
db01039,c0007222
db00996,c0024299
db00860,c0547030
db00369,c0151717
db00685,c0026821
db01043,c0877359
db01104,c0010200
db00234,c0004093
db00757,c0428977
db01254,c0333243
db01165,c0423602
db00465,c0018926
db00460,c0344232
db00624,c0018790
db01084,c0027765
db01050,c0021845
db01367,c0018965
db08826,c0041105
db08893,c0041912
db00654,c0162285
db00572,c0154946
db01262,c0018808
db01267,c0041834
db00859,c0149745
db00996,c0003467
db00811,c0162119
db01410,c0008031
db01149,c0018099
db00177,c0917801
db01244,c0015230
db00813,c0575081
db06717,c0235710
db01041,c0037763
db01592,c0236075
db06148,c0040479
db08873,c0027497
db00492,c0018790
db01024,c0042024
db00209,c0020458
db00701,c0033774
db00997,c0043096
db00983,c0339916
db06616,c1145670
db01198,c0233494
db00193,c1321898
db01101,c0240464
db00992,c1325847
db01150,c0018681
db01019,c2939147
db06695,c0852361
db00344,c0235293
db00976,c0700345
db00559,c0040264
db00910,c0013395
db00625,c0003862
db00943,c0040034
db08901,c0013395
db01149,c0010200
db06768,c0041834
db00687,c0700590
db00328,c0042571
db08873,c0025874
db01611,c0040264
db00482,c0423791
db08804,c0034013
db00860,c0029456
db00268,c1442903
db00559,c0038362
db00640,c0240327
db00678,c0039070
db00331,c0009782
db00437,c0233931
db01275,c0241705
db00500,c0013428
db00778,c0002994
db00264,c1306341
db00184,c0085624
db01101,c0700590
db00598,c0234238
db00091,c0020678
db04835,c0151905
db01083,c0019158
db00247,c0159028
db01236,c0042075
db00666,c0232462
db08901,c0178298
db06287,c0011603
db01232,c0152169
db00977,c0014743
db00998,c0041657
db00184,c0231218
db00683,c0235827
db01141,c0085605
db00951,c0333641
db00945,c0302295
db00396,c0014130
db00752,c0021141
db00433,c0034065
db00418,c0549249
db00760,c0151723
db00741,c0041657
db00997,c0041956
db01198,c0042029
db00603,c0005779
db00472,c0151825
db01215,c0027497
db01142,c0020461
db01208,c0042963
db00656,c0948525
db00352,c0014867
db01050,c1167965
db00381,c0015230
db00454,c0003460
db08816,c0040797
db01219,c0024299
db01008,c0242350
db01165,c0271298
db00915,c0855242
db00863,c0022346
db00558,c0041657
db01150,c0595916
db04839,c0018801
db00196,c0043352
db00816,c0020538
db00796,c0017160
db00178,c0037317
db00422,c0013595
db01346,c0040034
db00104,c0233494
db00776,c0235886
db00262,c0008031
db00982,c0031542
db00455,c0002994
db00184,c0028043
db00916,c0232493
db00207,c0042109
db00760,c0013395
db01037,c0684249
db01009,c0013378
db01039,c0857256
db00193,c0039231
db00187,c0002994
db00994,c0151692
db01041,c0006145
db00193,c0004604
db00530,c1258215
db06717,c0234215
db00736,c0151908
db00879,c0016658
db00555,c0002622
db00404,c0851578
db00213,c0349506
db00661,c0242350
db00864,c1262170
db00246,c0038663
db00482,c0265031
db00465,c0235996
db00313,c0235378
db01238,c0037274
db00303,c0852625
db01050,c0010200
db04953,c0877359
db00609,c0242350
db01212,c1565489
db01133,c0013395
db00808,c0002962
db00218,c0302809
db00584,c0948594
db00282,c0917801
db00401,c1443060
db08804,c0156312
db01181,c0042109
db05812,c0027051
db01085,c0003467
db01232,c1262113
db01042,c0151763
db01210,c0011849
db06287,c0151692
db01205,c0014544
db00323,c0151736
db00741,c0022408
db00908,c0029134
db01586,c0037199
db00176,c0948594
db01080,c0232462
db00495,c0687133
db00740,c0085631
db01142,c0085631
db00624,c0005001
db01186,c0011991
db00674,c0233494
db01248,c0027651
db08910,c0032285
db01065,c0033771
db01073,c0333355
db01400,c2830004
db00755,c0020437
db00559,c0019079
db01175,c0039971
db01101,c1306341
db00215,c0011071
db01579,c0011991
db00936,c0877047
db00752,c0030252
db01165,c0006840
db00669,c0033774
db01156,c0038358
db01242,c0002390
db01181,c0006145
db01024,c0024115
db06699,c0085593
db00991,c0020456
db01190,c0011603
db00471,c0004936
db00286,c0040046
db00864,c0004239
db00185,c0011644
db00091,c0006145
db01062,c0002792
db00881,c0042963
db00755,c0004093
db01008,c0042075
db00975,c2242737
db00864,c0029456
db00361,c0746731
db00367,c0231528
db06209,c0023530
db00373,c0235266
db06218,c0917801
db06701,c0877322
db00743,c0020461
db00494,c0085637
db00709,c0042401
db00952,c0038999
db01263,c0423791
db06212,c0012833
db00472,c0002792
db00501,c0033975
db00104,c0013604
db00459,c0017675
db00615,c0040034
db00811,c0243026
db00968,c0376175
db00788,c0162429
db00331,c0426576
db00448,c0227791
db00523,c0001816
db01196,c0040038
db00995,c0011991
db01101,c0042075
db01592,c0020517
db06268,c0919980
db00755,c0231218
db00605,c0027726
db01057,c0041834
db01624,c1510497
db01628,c0020580
db00877,c0006277
db01043,c0007137
db00869,c0423006
db00564,c0022107
db00218,c0019158
db00877,c0003862
db00302,c0002871
db00338,c0085593
db00361,c0149925
db00743,c0427457
db00589,c0039231
db01073,c0919924
db00346,c0231218
db00921,c0030193
db00327,c0001973
db00552,c0020039
db00341,c0035455
db00273,c0018784
db00437,c0085684
db01238,c0015230
db00681,c0919890
db00215,c0038454
db06155,c0015672
db00850,c0035309
db00796,c0162429
db00758,c0392386
db01238,c0030807
db00938,c0040460
db01400,c0016204
db00483,c0037274
db00496,c0344232
db08907,c0162830
db00482,c0024902
db00586,c0038362
db01416,c0012739
db00888,c0022346
db01072,c0151786
db00889,c0000731
db00203,c0032285
db01413,c0234428
db06288,c0018418
db00669,c0032019
db08911,c0027765
db00320,c0042571
db00324,c0423602
db01179,c0013604
db00847,c0233472
db01224,c0006325
db01105,c0232849
db00629,c0020651
db01223,c0021141
db01142,c0015230
db01440,c0021400
db00186,c0027066
db00343,c0036974
db00695,c0021167
db01182,c0085615
db01101,c0019147
db00584,c0015672
db00222,c0015672
db01260,c0175167
db01104,c0013390
db00752,c0040264
db08897,c0018681
db00374,c0040046
db00966,c0235437
db06772,c0085593
db00230,c0151730
db00648,c0232462
db01041,c0948594
db00799,c0085649
db00327,c0006266
db00209,c1443060
db01149,c0020453
db00489,c1368065
db00790,c0027051
db00370,c0023212
db00321,c0080274
db00451,c1112320
db01129,c0035304
db00728,c0006266
db00705,c0700225
db00624,c0236071
db00843,c0042029
db01211,c0917801
db00603,c0042571
db00552,c0392171
db00422,c0033774
db00783,c0020598
db00188,c0151610
db01141,c0020649
db04839,c0035309
db00424,c2830004
db00949,c1368065
db01006,c0042023
db00789,c0039437
db00675,c0151904
db01274,c0002994
db00404,c0948525
db00864,c0028738
db01013,c0020580
db01137,c0917801
db01190,c0026946
db00749,c0027769
db00669,c0456909
db01592,c0085631
db00176,c0017168
db01409,c0020443
db04876,c0042373
db00976,c0520587
db01394,c0235431
db00755,c0521854
db00448,c0149871
db00921,c0009763
db01115,c0018799
db00261,c0000737
db01165,c0013395
db00215,c0023222
db00480,c0042109
db00492,c0700590
db00770,c0002884
db00490,c0003564
db01206,c0599918
db06268,c0035522
db00296,c0410959
db00947,c0085605
db01198,c0151752
db00230,c0011991
db06274,c0080274
db00369,c3263723
db01238,c0043096
db01129,c0235299
db00564,c0080274
db00906,c0021177
db00278,c0040053
db01198,c0022107
db00494,c0231303
db00734,c0003578
db00709,c3263723
db04572,c1258215
db00829,c0030252
db00268,c0235996
db00234,c0017601
db00722,c0342257
db00590,c0231530
db08912,c0006079
db00695,c0151828
db00445,c0020649
db01136,c0020538
db00307,c0019079
db01219,c0030193
db00952,c0015230
db01558,c0027765
db00813,c0920289
db00977,c0038454
db00989,c0080274
db01002,c0037383
db00619,c0156404
db00688,c0002884
db00493,c0404521
db01036,c0009450
db00783,c0085688
db01060,c1609512
db00286,c0008031
db01320,c0027497
db00605,c0022346
db00323,c0019521
db01101,c0022346
db00972,c2830004
db00091,c0035078
db00868,c0036572
db00740,c0392525
db00327,c0035455
db01004,c0235855
db00433,c0917801
db08881,c0162429
db00650,c0232492
db01062,c0014868
db00784,c0017675
db00176,c0019079
db00193,c0014724
db00882,c0025958
db01400,c0041657
db00300,c1565489
db00492,c0006145
db01114,c0178416
db01104,c0494559
db06155,c0003467
db00268,c0030846
db00230,c0151737
db00153,c0003123
db00816,c0948594
db00203,c0231218
db00862,c0085624
db00558,c0024312
db00959,c0011991
db00916,c0151785
db01177,c0015230
db01222,c0029456
db00648,c0085692
db00268,c0035243
db01586,c0017178
db00577,c0035078
db01188,c0041834
db01043,c0235922
db00268,c0152018
db00448,c0600142
db01175,c0042571
db04835,c0151773
db01189,c0151744
db00275,c0002170
db08804,c0015230
db00502,c0042571
db00715,c0424109
db00188,c0162529
db00188,c0085619
db00608,c0033975
db00413,c0020580
db00295,c0877144
db00230,c0004998
db00380,c0023530
db08881,c0497365
db01101,c0311394
db00302,c0002962
db00408,c0018681
db00377,c0521839
db01030,c0018834
db00490,c0234518
db00471,c0009938
db00705,c0085096
db00425,c0026821
db00243,c0040034
db01129,c3203358
db00864,c0438167
db01104,c1142135
db00523,c0836924
db00177,c0004093
db00215,c0009376
db00523,c0004604
db00230,c0020538
db00316,c0151786
db00408,c1527358
db04868,c0041657
db00788,c0011603
db00853,c0042075
db01013,c0001622
db00555,c0019572
db00459,c0234913
db00783,c0006840
db00307,c0019080
db01367,c0428974
db00294,c0030196
db00273,c0836924
db05812,c0017178
db01182,c0236071
db00688,c3665347
db00909,c0948525
db01233,c0740852
db01075,c0043352
db01041,c0024236
db01595,c0151559
db06605,c0151905
db00668,c2937358
db05630,c0003467
db01037,c0017181
db00461,c0018681
db00884,c0034882
db00741,c2586050
db00693,c0039070
db01176,c0020649
db06777,c0020517
db01065,c0149745
db00650,c0267537
db01073,c0020598
db00285,c0036974
db00724,c0235763
db00243,c0030196
db00348,c0745761
db00470,c0020458
db00537,c0333472
db01320,c0009421
db01238,c0007971
db00736,c0014868
db00370,c0020473
db00629,c0009806
db01068,c0549249
db00441,c0034063
db04835,c0036974
db00422,c0311468
db06716,c0042514
db00928,c0151699
db01583,c0151602
db01067,c0002878
db01097,c1096658
db00230,c0020651
db00861,c0026821
db00575,c1696574
db01129,c0442874
db00776,c0002170
db00712,c0037822
db00445,c0392197
db00752,c0030232
db00757,c0020649
db00294,c0011124
db01254,c0162285
db00623,c0232462
db01211,c0018790
db00496,c0018681
db00808,c0016658
db00433,c0262385
db00230,c0038525
db00242,c0014591
db00675,c0700345
db00813,c0595877
db01590,c0262627
db01022,c0020649
db01037,c0231528
db00970,c0027497
db01193,c2047937
db01118,c0086565
db01015,c0011570
db05271,c0020651
db00986,c0232849
db00441,c0221021
db00720,c0002994
db00348,c0019209
db00564,c0035455
db01176,c0027769
db00244,c0002874
db00216,c0151825
db00633,c0151849
db00313,c0016655
db00937,c0042109
db01149,c1456784
db00952,c0038525
db00624,c0020453
db00813,c0017675
db01002,c0012833
db00367,c0024902
db00564,c0234518
db00302,c0149512
db00343,c0232487
db00943,c0237849
db00918,c0162830
db00736,c2242737
db01190,c0014742
db00652,c0009806
db00268,c1305875
db00755,c0235344
db01600,c0728993
db01583,c0000731
db00780,c0023530
db00598,c0700590
db00706,c0392171
db00918,c0948594
db00091,c0023530
db00834,c0020621
db00268,c0006384
db00188,c0546817
db00187,c0034642
db00593,c0015230
db01340,c0917801
db00445,c0002874
db06772,c0020456
db00268,c0162830
db00877,c0004509
db01065,c0236075
db06218,c0015397
db00818,c0151828
db00894,c0234215
db01229,c0085393
db01220,c1619712
db00367,c0085602
db06701,c0392197
db00938,c0038450
db00389,c0948594
db00964,c0005741
db01050,c0010692
db01175,c0002418
db00185,c0221392
db00624,c1325847
db00612,c0018799
db00879,c0020621
db00925,c0015672
db00535,c0033774
db01013,c1368065
db00273,c0029442
db00640,c0015230
db00962,c0004134
db06287,c0003123
db00035,c0857122
db00465,c0021390
db01035,c0013378
db00175,c0042571
db00743,c0013928
db00424,c0231835
db01062,c0948594
db00934,c0038325
db00626,c0027497
db00285,c0852733
db08893,c0015672
db06715,c1443060
db00970,c0151766
db00257,c0037763
db00881,c0027765
db00582,c1519353
db00818,c0085633
db00187,c0178298
db00864,c0549386
db01165,c0020488
db01247,c0038990
db00327,c0020651
db01143,c0234215
db00297,c0003862
db00829,c0026961
db00397,c0022672
db05246,c0023530
db01105,c0002962
db01232,c0038363
db01041,c1096448
db06817,c0004364
db01068,c0085631
db01440,c0043352
db00408,c0231688
db00291,c0085631
db00014,c0011570
db01194,c0344315
db01390,c0040586
db01197,c0042384
db00909,c0028738
db01097,c0019348
db00959,c0039231
db00542,c0038454
db01162,c0039070
db00268,c0037195
db01197,c0010200
db00216,c0039971
db00196,c0232462
db01048,c1443060
db00482,c0010692
db01156,c0042023
db00564,c0002957
db00864,c0853714
db00193,c0232352
db00523,c0041657
db00323,c0700590
db00862,c0085612
db01260,c0497247
db00361,c0030312
db00437,c0086565
db01592,c0037199
db00808,c0011606
db00316,c0151205
db01041,c0002418
db00590,c0151908
db00811,c1168134
db01039,c0085649
db01069,c0162830
db00934,c0011991
db00910,c0162298
db08884,c0854375
db01398,c0030252
db00422,c0026961
db01610,c0033774
db00565,c0428886
db01104,c0006826
db01222,c0015397
db00490,c0043352
db01126,c0006142
db00476,c0009676
db00268,c0002871
db00780,c0033774
db00362,c0151479
db00437,c0239571
db01183,c0085593
db01044,c0027497
db01339,c0002792
db01166,c0151699
db00244,c0014457
db01156,c0037036
db01175,c0017675
db00688,c0231528
db01023,c0917801
db01008,c0001403
db00696,c0022116
db04868,c0151827
db00864,c0852908
db01263,c0522055
db00244,c0008350
db00612,c0020580
db00299,c0023530
db00928,c0015672
db01238,c1611167
db00279,c0027051
db00130,c2047937
db01409,c0035078
db00918,c0013378
db00358,c3665347
db00419,c0030196
db00783,c0236080
db00413,c0392525
db00222,c0021400
db00175,c0043096
db00918,c0042510
db00180,c0699744
db00992,c0085932
db00457,c0030305
db06701,c0038273
db00424,c0002994
db00317,c0151908
db00567,c0311468
db00671,c0595916
db01019,c2047937
db00377,c0011615
db00582,c0311468
db08804,c0028960
db00967,c0015230
db00704,c0235146
db00943,c0085682
db01097,c2242588
db00559,c0002994
db00373,c0085649
db00234,c0149721
db00813,c0085649
db00857,c0178298
db04868,c0017160
db00361,c0002871
db00283,c0012833
db06151,c0039231
db00990,c1443060
db01214,c0344232
db00216,c0027932
db00989,c1306341
db00237,c1145670
db01023,c0037763
db00647,c0151766
db00724,c1384606
db01072,c0917801
db01400,c1141930
db06703,c0032961
db01229,c0032227
db00996,c0877359
db00213,c1443060
db00268,c0034186
db00968,c0015967
db00472,c0036508
db06701,c0013404
db00783,c0042401
db00545,c0521592
db00484,c0085636
db01280,c0013378
db08907,c0016655
db00187,c0233632
db08815,c0021400
db00246,c0011991
db08816,c1096225
db06262,c0042029
db00991,c0001824
db01050,c0549336
db00486,c0235198
db01085,c0149931
db00262,c0006849
db00335,c0917801
db00918,c0018799
db01198,c0011175
db00307,c0011124
db00296,c0852911
db00685,c0012569
db01346,c0041349
db01263,c0024902
db00454,c0522224
db00185,c0237849
db01394,c0004509
db00974,c0040046
db00757,c1167965
db01330,c0006852
db00897,c0026838
db00993,c0151763
db00480,c0854467
db00366,c0018524
db00564,c0006277
db01018,c0233472
db01398,c0020517
db01044,c0423791
db00877,c0017574
db00704,c0028081
db00371,c0011609
db00572,c0026636
db01215,c0001824
db01101,c0043094
db05271,c0002994
db00881,c0033774
db00678,c0011603
db00619,c0041912
db00218,c0151810
db00539,c0227791
db00544,c0877153
db00715,c0085636
db00999,c0015672
db00949,c0043096
db05294,c0020538
db05260,c0030554
db00675,c0236075
db01589,c0043352
db00497,c0233477
db01262,c0876973
db00370,c0855242
db01142,c0152198
db00790,c0010200
db00818,c0031117
db00564,c0235660
db00910,c0020626
db00477,c0010200
db01073,c0037199
db01044,c0151474
db00294,c0149741
db00381,c0040264
db00230,c0036508
db00722,c0021400
db00394,c0027441
db00512,c0917801
db00656,c0018524
db00220,c0085932
db01104,c1457883
db06777,c0151907
db00625,c0235876
db01181,c0033687
db04845,c0032285
db06703,c0600142
db00813,c0022346
db05521,c0034886
db01410,c0020522
db00203,c0853225
db00582,c0687133
db01059,c0020517
db00828,c0027769
db01346,c0006266
