e1,e2,all
db00516,['db00516'],"['db00516', 'db00516', 'c0042487', 'c0020625', 'c0015967', 'c0009450', 'c0031542', 'c0024115', 'c0019054', 'c0546817', 'c0015376', 'c0013604']"
db00517,"['db00517', 'db00332', 'db00725', 'db00313']","['db00517', 'db00517', 'db00332', 'db00725', 'db00313']"
db00518,"['db00518', 'db00643']","['db00518', 'db00518', 'db00643', 'c0015230', 'c0018681', 'c0011603', 'c0267792', 'c0000737', 'c0019158', 'c0042963', 'c0002170', 'c0042571', 'c0027947', 'c0178298', 'c0858678', 'c0037274', 'c0021053', 'c0040034', 'c0041969', 'c0015967', 'c0162557', 'c0022660', 'c0151740', 'c0020517', 'c0042075', 'c0687713', 'c0030312', 'c0001824', 'c0042109', 'c0002874', 'c0012833', 'c0014742', 'c0038325', 'c0151766', 'c0023530', 'c0027497']"
db00519,"['db00519', 'db00731', 'db00691', 'db00881', 'db00584', 'db00178', 'db00168', 'db00790', 'db01340', 'db01252', 'db00542', 'db00492', 'db00722', 'db01348']","['db00519', 'db00519', 'db00731', 'db00691', 'db00881', 'db00584', 'db00178', 'db00168', 'db00790', 'db01340', 'db01252', 'db00542', 'db00492', 'db00722', 'db01348', 'c0015230', 'c1384353', 'c0027947', 'c0030554', 'c0015967', 'c0011991', 'c0042384', 'c0002962', 'c0265935', 'c0018790', 'c0438717', 'c0042571', 'c0700200', 'c0030252', 'c0151625', 'c0009806', 'c0917801', 'c0949070', 'c0877266', 'c0438215', 'c0002994', 'c0162830', 'c0041912', 'c0231528', 'c0003467', 'c0428282', 'c0010200', 'c0002871', 'c0013595', 'c0013404', 'c0018926', 'c0027497', 'c0027765', 'c0040264', 'c0023518', 'c0030312', 'c0023530', 'c0003862', 'c0008031', 'c0042345', 'c0006277', 'c0863113', 'c0000737', 'c0234215', 'c0004936', 'c0022660', 'c0030196', 'c0004239', 'c0035455', 'c0019158', 'c0162119', 'c0856882', 'c0020625', 'c0015397', 'c0151539', 'c0039231', 'c0151825', 'c0263386', 'c0740394', 'c0012833', 'c0030305', 'c0013144', 'c0085632', 'c0178298', 'c0009450', 'c0151766', 'c0038325', 'c0029408', 'c0037763', 'c0013378', 'c0004604', 'c0036980', 'c0006145', 'c0013395', 'c0042963', 'c0235996', 'c0011570', 'c0009782', 'c1443060', 'c0852810', 'c0151908', 'c0687713', 'c0085096', 'c0242350', 'c0149931', 'c0004093', 'c0023052', 'c0030807', 'c0016382', 'c1167965', 'c0151744', 'c0015672', 'c0235416', 'c0020757', 'c0041969', 'c0037274', 'c0014457', 'c0020598', 'c0020443', 'c0267792', 'c0392386', 'c0025061', 'c2830004', 'c0018099', 'c0151905', 'c0750394', 'c0014591', 'c0085614', 'c0033774', 'c0231218', 'c0235431', 'c0021308', 'c0040034', 'c0039070', 'c1258215', 'c0020649', 'c0017178', 'c0014518', 'c0027066', 'c0851578', 'c0042514', 'c0001824', 'c0038454', 'c0007787', 'c0018681', 'c0948089', 'c0032617', 'c0013604', 'c0600142', 'c0855242', 'c0744727', 'c0002878', 'c0003123', 'c0011603', 'c0020473', 'c0151578', 'c0042075', 'c0233471', 'c0033860', 'c0005818', 'c0011124', 'c0162429', 'c0027051', 'c0022354', 'c0036974', 'c0003811', 'c0041657', 'c0042109', 'c0851341', 'c0236075', 'c0858635', 'c0021775', 'c0031350', 'c0000731', 'c0020456', 'c0042373', 'c0042023', 'c0017152', 'c0853760', 'c3665347', 'c0014742', 'c0549373', 'c0005741', 'c0020458', 'c0948594', 'c0002170', 'c0020461', 'c0242528', 'c0018524', 'c2047937', 'c0020517', 'c0852911', 'c0016204', 'c0003864', 'c0522055', 'c0085649', 'c0338480', 'c0151601', 'c0428977', 'c0151480', 'c2937358', 'c0547030', 'c0232462', 'c0085631', 'c0018801', 'c0004245', 'c0349506', 'c0026821', 'c0151632', 'c0428974', 'c0018799', 'c0021053', 'c0042029', 'c0043352', 'c0035078', 'c0034068', 'c0239134', 'c0038990']"
db00520,"['db00520', 'db00362']","['db00520', 'db00520', 'db00362', 'c0011127', 'c0221752', 'c0151763', 'c0040046', 'c0021053', 'c0744727', 'c0042029', 'c0237849', 'c0033771', 'c0178298', 'c0031256', 'c0008031', 'c0595902', 'c0016382', 'c0030193', 'c0085624', 'c0231218', 'c0041969', 'c0018965', 'c0750394', 'c0039231', 'c0013404', 'c0740434', 'c0852911', 'c0232462', 'c0162285', 'c0243026', 'c1096049', 'c0011991', 'c0475858', 'c2240374', 'c0034063', 'c0948586', 'c0036572', 'c0020621', 'c0020580', 'c0038990', 'c0853813', 'c0030554', 'c0595885', 'c0042963', 'c0521839', 'c0549385', 'c0852909', 'c0240671', 'c0009676', 'c0855644', 'c0002994', 'c0009782', 'c0020625', 'c0239062', 'c0344232', 'c0001175', 'c0004364', 'c0235309', 'c0162119', 'c1096460', 'c0151849', 'c0151798', 'c0855625', 'c0012833', 'c0853760', 'c0018799', 'c0948594', 'c0009450', 'c0040034', 'c0011168', 'c0151723', 'c0020649', 'c0031542', 'c0851807', 'c0002871', 'c0040822', 'c0019158', 'c0233407', 'c0018681', 'c0549386', 'c1145670', 'c0011603', 'c0003811', 'c2047937', 'c0858635', 'c0004238', 'c0232492', 'c0947999', 'c0231856', 'c0085593', 'c0231528', 'c1698976', 'c0036983', 'c0014591', 'c0151828', 'c0005779', 'c0231835', 'c0015672', 'c0022660', 'c0595916', 'c0000737', 'c0860803', 'c0027651', 'c0027765', 'c0020437', 'c0017178', 'c0853698', 'c0034642', 'c0035222', 'c0041834', 'c0860901', 'c0086565', 'c0392386', 'c0006266', 'c0476273', 'c0004030', 'c0151539', 'c0003123', 'c0004936', 'c0220981', 'c0546817', 'c0002792', 'c0917801', 'c0280100', 'c0011615', 'c0580413', 'c1384353', 'c0234913', 'c0151825', 'c0013395', 'c3665624', 'c0003962', 'c0038450', 'c0235431', 'c0025061', 'c0860866', 'c0595877', 'c0032285', 'c0497247', 'c0741494', 'c0005940', 'c0555120', 'c0221201', 'c0027947', 'c0852625', 'c0311468', 'c0023066', 'c0151662', 'c0423791', 'c0235416', 'c0235996', 'c0085649', 'c1565489', 'c0857093', 'c0687713', 'c1608954', 'c0599918', 'c0032227', 'c0029118', 'c0234918', 'c0235378', 'c0151602', 'c0018790', 'c0020517', 'c0152227', 'c0553704', 'c0549373', 'c0542571', 'c0037274', 'c0030252', 'c0000731', 'c0003862', 'c0700225', 'c0038999', 'c0600142', 'c1096034', 'c0235710', 'c0042373', 'c0236075', 'c0022346', 'c1096091', 'c0853750', 'c1096243', 'c0949103', 'c0595882', 'c0020458', 'c0428977', 'c1141938', 'c0003467', 'c0020433', 'c0151905', 'c0853777', 'c0018802', 'c0016204', 'c0043144', 'c0920102', 'c0004610', 'c1695897', 'c0853986', 'c0853761', 'c0750426', 'c0015397', 'c0151786', 'c0854058', 'c0234233', 'c0027497', 'c0948089', 'c0267792', 'c0037284', 'c0234215', 'c0151872', 'c0746883', 'c0020538', 'c0085605', 'c0014742', 'c0042384', 'c0008370', 'c0860711', 'c0004604', 'c0162429', 'c0009806', 'c0019209', 'c0859062', 'c2830004', 'c0035078', 'c0030305', 'c0151605', 'c0853697', 'c0018133', 'c1619702', 'c1443060', 'c0553706', 'c0919625', 'c0877365', 'c0239571', 'c0836924', 'c0877517', 'c0580493', 'c0017152', 'c0042109', 'c0497365', 'c0853225', 'c0014457', 'c0027051', 'c0042075', 'c1956415', 'c0023895', 'c1096035', 'c0013378', 'c0332534', 'c0858667', 'c0595878', 'c0010200', 'c0860703', 'c1167945', 'c0151904', 'c0015230', 'c0700590', 'c0015967', 'c0860864', 'c0541802', 'c0342579', 'c0020598', 'c0020456', 'c0542149', 'c0376545', 'c0595900', 'c1868912', 'c0013604', 'c0030196', 'c0006826', 'c0033774', 'c0232487', 'c0004093', 'c2939147', 'c0948257', 'c0043352', 'c0333355', 'c0027424', 'c0851341']"
db00521,"['db00521', 'db08807', 'db01203', 'db08808']","['db00521', 'db00521', 'db08807', 'db01203', 'db08808', 'c0012569', 'c0030252', 'c0152227', 'c0344232', 'c0004093', 'c0855704', 'c0012833', 'c0013378', 'c0003811', 'c0241863', 'c0004245', 'c0006266', 'c0009763', 'c0005743', 'c0235266', 'c0423232', 'c0497365', 'c0547030', 'c0013404', 'c0428977', 'c1145670', 'c0018802', 'c0917801', 'c0018794', 'c0027497', 'c0018681', 'c0423153', 'c0011570', 'c0022568', 'c0020517', 'c0041657', 'c3665347', 'c0005745', 'c0039070', 'c0038454', 'c0011849', 'c0861157', 'c0013604', 'c0917798', 'c0020615', 'c0085636', 'c1761613', 'c0037199', 'c0020649', 'c0036974', 'c0028077']"
db00523,"['db00523', 'db00459', 'db00982', 'db00162']","['db00523', 'db00523', 'db00459', 'db00982', 'db00162', 'c0027441', 'c0037928', 'c0004096', 'c0000731', 'c0028817', 'c1527344', 'c0241729', 'c0001122', 'c0241005', 'c0861157', 'c0547030', 'c0521495', 'c0151955', 'c0235234', 'c1443060', 'c0157733', 'c0267596', 'c0013238', 'c1384353', 'c0948586', 'c0919980', 'c0152030', 'c0235031', 'c0039503', 'c0039446', 'c0037278', 'c0003811', 'c2364164', 'c0151505', 'c0424489', 'c0151735', 'c0027765', 'c0031542', 'c0851341', 'c0234632', 'c0034063', 'c0085077', 'c0032285', 'c0021368', 'c0005758', 'c0019825', 'c0015469', 'c0239340', 'c0015230', 'c0521491', 'c1325847', 'c0239571', 'c0033774', 'c0035085', 'c0151907', 'c0237849', 'c0151740', 'c0687133', 'c0235857', 'c1442903', 'c0013595', 'c0010692', 'c0014236', 'c0001816', 'c0836924', 'c0004604', 'c0041657', 'c0031039', 'c0231875', 'c0233762', 'c0424000', 'c0205204', 'c0853714', 'c0018099', 'c0011616', 'c0585186', 'c0022107', 'c0043349', 'c0029089', 'c0003864', 'c0020542', 'c0017181', 'c0085593', 'c0085636', 'c0003537', 'c0013604', 'c0039231', 'c0007642', 'c0278134', 'c2242996', 'c0023518', 'c0853034', 'c0151763', 'c0020458', 'c0260662', 'c2830004', 'c0013362', 'c0542571', 'c0151888', 'c0036529', 'c0263445', 'c0038325', 'c0015967', 'c0015672', 'c0013404', 'c0473237', 'c0041969', 'c0038990', 'c0520893', 'c0035229', 'c0000737', 'c0413252', 'c1145670', 'c1112625', 'c0009806', 'c0033687', 'c0151754', 'c0542476', 'c0086543', 'c0035243', 'c2937358', 'c0035317', 'c0151908', 'c0010200', 'c0853813', 'c0018965', 'c0027424', 'c0011849', 'c0235344', 'c0026766', 'c0009421', 'c0007859', 'c0011570', 'c0020538', 'c0151559', 'c0231218', 'c0268948', 'c0235266', 'c0242184', 'c0151514', 'c0878544', 'c0852733', 'c0149745', 'c0002957', 'c0242151', 'c0040264', 'c0020557', 'c0233794', 'c0424323', 'c0009763', 'c0018790', 'c0035078', 'c0029408', 'c0020453', 'c0013144', 'c0162429', 'c0020672', 'c3665347', 'c0043345', 'c0549419', 'c0232487', 'c0152027', 'c0028866', 'c0018524', 'c0233514', 'c0332579', 'c0026858', 'c0027769', 'c0016436', 'c0700590', 'c0042384', 'c0017658', 'c2973529', 'c0235280', 'c0853700', 'c0018681', 'c0497327', 'c0085641', 'c0032227', 'c0013395', 'c0040034', 'c0241136', 'c0028643', 'c0022116', 'c0178298', 'c0017574', 'c0014868', 'c0086769', 'c0518015', 'c0700225', 'c0948525', 'c0038999', 'c0677500', 'c0085584', 'c0034642', 'c0017178', 'c0332563', 'c0002871', 'c0239488', 'c0232766', 'c0162820', 'c0027339', 'c0011615', 'c0037274', 'c0235431', 'c0152459', 'c0015256', 'c0018500', 'c0231919', 'c0235030', 'c0027051', 'c0012739', 'c0016204', 'c0009450', 'c0023895', 'c0009319', 'c0403632', 'c0014518', 'c0007222', 'c0162835', 'c0001339', 'c0028077', 'c0005741', 'c0037299', 'c0031046', 'c0426576', 'c0241164', 'c0018808', 'c0042029', 'c0001175', 'c0349506', 'c0239783', 'c0015645', 'c0035854', 'c0175167', 'c0005779', 'c0151692', 'c0235416', 'c0333355', 'c0030252', 'c0020877', 'c0426732', 'c0013922', 'c0027497', 'c0038814', 'c0043094', 'c0014743', 'c0263634', 'c0042023', 'c0013428', 'c0220870', 'c0234233', 'c0263449', 'c0151632', 'c0020443', 'c0042373', 'c0423791', 'c0038661', 'c0162830', 'c0019917', 'c0030353', 'c0029134', 'c0018801', 'c0030305', 'c0038454', 'c0243026', 'c0235309', 'c0151970', 'c0857361', 'c0232910', 'c0002792', 'c0018802', 'c0302314', 'c0011053', 'c0006840', 'c0085653', 'c0740394', 'c0012833', 'c0039070', 'c0013447', 'c2047937', 'c0042790', 'c0151849', 'c0004095', 'c0019158', 'c0497156', 'c0025345', 'c3495801', 'c0002170', 'c0700292', 'c0234936', 'c0041912', 'c0235378', 'c0004930', 'c0085631', 'c0702266', 'c0152227', 'c0043092', 'c0003123', 'c0042963', 'c0332575', 'c0014742', 'c0031117', 'c0009676', 'c0011606', 'c0003962', 'c0948594', 'c0030578', 'c0026113', 'c0549249', 'c0521854', 'c1565489', 'c0233494', 'c0023052', 'c1384666', 'c0854113', 'c0750394', 'c0221260', 'c0221252', 'c0033845', 'c0234215', 'c0010038', 'c0016382', 'c0700361', 'c0555724', 'c0005778', 'c0575081', 'c0030232', 'c0746883', 'c0151628', 'c0027121', 'c0007760', 'c0019572', 'c0521172', 'c0014591', 'c1720775', 'c0029400', 'c0020580', 'c0233472', 'c0003862', 'c0004093', 'c0038663', 'c0020517', 'c0019080', 'c0017152', 'c0267380', 'c0001807', 'c0010346', 'c0151281', 'c0015397', 'c0037199', 'c0151436', 'c0948089', 'c0033975', 'c0155169', 'c0036690', 'c0853149', 'c0344232', 'c0235283', 'c0038362', 'c0022568', 'c0041834', 'c0020492', 'c0235876', 'c0221717', 'c0235896', 'c0281856', 'c0231303', 'c0036508', 'c0860564', 'c0546817', 'c0858678', 'c0042075', 'c0013456', 'c0235710', 'c0004623', 'c0011991', 'c0332601', 'c0314719', 'c0036454', 'c0035410', 'c0232849', 'c0032961', 'c0020579', 'c0917801', 'c0020473', 'c0018800', 'c0162834', 'c0151883', 'c0043144', 'c0030554', 'c0030193', 'c0456909', 'c0311468', 'c1527311', 'c0009938', 'c0011603', 'c0234894', 'c1859270', 'c0036572', 'c0004364', 'c0019214', 'c0016199', 'c0085649', 'c0852911', 'c0007682', 'c0023380', 'c0006826', 'c0019348', 'c0036973', 'c0687713', 'c0151576', 'c0020649', 'c0030196', 'c0010520', 'c0036974', 'c0042109', 'c0018991', 'c0011168', 'c0043096', 'c0235146', 'c2721737', 'c1611174', 'c0027059', 'c0001824', 'c0702166', 'c0006266', 'c0008031', 'c0476273', 'c0007971', 'c0040053', 'c0004936', 'c0442886', 'c0085932', 'c0595877', 'c0022660', 'c0043352', 'c0231528', 'c0003467', 'c0021390', 'c3665346', 'c0031350', 'c0041582', 'c0013295', 'c0040822', 'c0847631', 'c0241057', 'c0595930', 'c0011175', 'c0151825', 'c0027947', 'c0085633', 'c0020437', 'c0232462', 'c0853692', 'c0024115', 'c0018772', 'c0231835']"
db00524,"['db00524', 'db00808', 'db00880']","['db00524', 'db00524', 'db00808', 'db00880', 'c0003123', 'c0162830', 'c0040034', 'c0242350', 'c0002871', 'c0151723', 'c0008031', 'c0033774', 'c0000731', 'c0016204', 'c0085593', 'c0004093', 'c0151908', 'c0086525', 'c0028734', 'c0220870', 'c0030554', 'c0013395', 'c0020437', 'c0687713', 'c0020538', 'c0235416', 'c0262988', 'c0349506', 'c0043352', 'c0151539', 'c0857121', 'c0009806', 'c0234215', 'c0042487', 'c0020625', 'c0015230', 'c0235290', 'c0042109', 'c0020651', 'c0004604', 'c0038325', 'c1269683', 'c0012833', 'c2363730', 'c0011991', 'c0019158', 'c0011603', 'c1291077', 'c0020517', 'c0027497', 'c0027769', 'c0152029', 'c0023380', 'c1318520', 'c0010200', 'c0270458', 'c0015672', 'c2830004', 'c0030193', 'c1443060', 'c0038999', 'c0237849', 'c0036974', 'c0232462', 'c0014742', 'c0020456', 'c0857448', 'c0546884', 'c0344232', 'c0042963', 'c0151476', 'c0277925', 'c0022354', 'c0231218', 'c0013378', 'c0023530', 'c0151799', 'c0553548', 'c0085680', 'c0040264', 'c0232487', 'c0178416', 'c0037763', 'c0442874', 'c0221490', 'c0030305', 'c2047937', 'c0085682', 'c0000737', 'c0085631', 'c0039070', 'c0031117', 'c0014591', 'c0042571', 'c0026821', 'c1368065', 'c0034150', 'c0233494', 'c0030252', 'c0740394', 'c0031256', 'c0020621', 'c0041657', 'c0013144', 'c0917801', 'c0017979', 'c0022281', 'c0242429', 'c2363731', 'c0948594', 'c0003467', 'c0018681', 'c0003862', 'c0001824', 'c0014518']"
db00527,"['db00527', 'db01118', 'db00807', 'db01035', 'db00608', 'db04967']","['db00527', 'db00527', 'db01118', 'db00807', 'db01035', 'db00608', 'db04967']"
db00528,"['db00528', 'db06712', 'db00622', 'db01054', 'db01115']","['db00528', 'db00528', 'db06712', 'db00622', 'db01054', 'db01115', 'c0003123', 'c0019158', 'c0231218', 'c0011615', 'c0235431', 'c0700225', 'c0003864', 'c0003467', 'c0003862', 'c0267792', 'c0041657', 'c1258215', 'c0035078', 'c0151773', 'c2047937', 'c0036749', 'c0006266', 'c0017178', 'c0019825', 'c0025061', 'c0241863', 'c0020461', 'c0002994', 'c0242350', 'c0015230', 'c0038362', 'c0151205', 'c0020625', 'c0028734', 'c0231528', 'c0011603', 'c0085649', 'c0687713', 'c0030807', 'c0239571', 'c0151539', 'c0004364', 'c0008370', 'c0542571', 'c0234987', 'c0002170', 'c0004936', 'c0042963', 'c0037274', 'c0039070', 'c0235234', 'c0042373', 'c2830004', 'c0022346', 'c0162830', 'c0151662', 'c0011991', 'c1167965', 'c0233494', 'c0232462', 'c0013378', 'c1527344', 'c0041834', 'c0030312', 'c0040409', 'c0038363', 'c0012833', 'c0040264', 'c0030305', 'c0149931', 'c0038454', 'c0000737', 'c0948089', 'c0037763', 'c0042571', 'c0011849', 'c0042075', 'c0027540', 'c0042109', 'c0020649', 'c2363730', 'c0018681', 'c0021053', 'c0042384', 'c1443060', 'c0013395', 'c0017567', 'c0015967', 'c0018799', 'c0344232', 'c1260880', 'c0030554', 'c0028961', 'c0004096', 'c0002871', 'c0700590', 'c0020517', 'c0020615', 'c0151786', 'c0162119', 'c0023895', 'c0858635', 'c0040034', 'c0853692', 'c0002390', 'c0027769', 'c0863113', 'c0948594', 'c0027497', 'c0018801', 'c0014742', 'c0033687', 'c0002962', 'c0030920', 'c0497156', 'c0178298', 'c0009806', 'c0008031', 'c0015672', 'c0033774', 'c0035455', 'c0917801', 'c0041969', 'c0020651', 'c0039231', 'c0023218', 'c0162429', 'c0232492', 'c0026821', 'c0006145', 'c0020458', 'c1527407', 'c2939147', 'c0004093', 'c0948586', 'c0020443', 'c0027441', 'c0027051', 'c0020557', 'c0232286', 'c0036974', 'c0001824', 'c0009782', 'c0242429', 'c0151763', 'c0027121', 'c0151480', 'c0011606', 'c0016382', 'c0032617', 'c0085605', 'c0027765', 'c0009676', 'c0151905', 'c0851578', 'c0031117', 'c0234215', 'c0018418', 'c0007222', 'c0151904', 'c0030252', 'c0010200', 'c0549373', 'c0017675', 'c0015397', 'c0027947', 'c0235896', 'c0043352', 'c0349506', 'c0023518', 'c0014518', 'c0042023', 'c2363731', 'c0038325', 'c0013404']"
db00529,['db00529'],"['db00529', 'db00529', 'c0085631', 'c0022660', 'c0015672', 'c0003537', 'c0392525', 'c0012833', 'c0003862', 'c0037299', 'c0700225', 'c0032617', 'c0267596', 'c0151734', 'c0035078', 'c0151849', 'c0027947', 'c0006840', 'c0039971', 'c0002622', 'c0022650', 'c0011175', 'c0013395', 'c0040053', 'c0004623', 'c0342579', 'c0239150', 'c0032326', 'c1457883', 'c0221269', 'c0035410', 'c0018965', 'c2830004', 'c0020598', 'c0687713', 'c0025222', 'c1443060', 'c0026848', 'c0011603', 'c0027651', 'c0038325', 'c0152009', 'c0041969', 'c0035229', 'c0042029', 'c0015967', 'c0038450', 'c0151786', 'c0595916', 'c0497327', 'c0000833', 'c0037199', 'c0424790', 'c0235086', 'c0014549', 'c0018681', 'c0151723', 'c0085641', 'c0033774', 'c0599918', 'c0852810', 'c0010200', 'c0009450', 'c0004093', 'c0030305', 'c0151883', 'c0028734', 'c1565489', 'c0392171', 'c0043096', 'c0085682', 'c0015393', 'c0151611', 'c0004604', 'c0011848', 'c0151539', 'c0027497', 'c0020538', 'c0151746', 'c0040034', 'c0006266', 'c0235431', 'c0151662', 'c0234215', 'c0000737', 'c0009421', 'c0038367', 'c0013604', 'c0497156', 'c0042963', 'c0948594', 'c0018790', 'c1167965', 'c0232462', 'c0015397', 'c0027121', 'c0030193', 'c0003467', 'c0085614', 'c1145670', 'c0917801', 'c0494475', 'c0027769', 'c0243026', 'c0031117', 'c0231528', 'c0013404', 'c0149745', 'c0016204', 'c0549249', 'c0021141', 'c0085681', 'c0026946', 'c0085628', 'c0520966', 'c0001807', 'c0020621', 'c0085932', 'c0018524', 'c0521839', 'c0542571', 'c0003123', 'c0014742', 'c0235896', 'c0023218', 'c0015230', 'c0040822', 'c0001122', 'c0020625', 'c0023510', 'c0151854', 'c0020639', 'c0080274', 'c0020458', 'c0151905', 'c0442874', 'c2047937', 'c0014518', 'c0006625', 'c0037763', 'c0030312', 'c0036572', 'c0008031', 'c0009763', 'c0233494', 'c0151754', 'c0009806', 'c0231218', 'c0025289', 'c0700590', 'c0030252', 'c0020580', 'c0020649', 'c0423791', 'c0005818', 'c0234913', 'c0036508', 'c0151904', 'c0085612', 'c0030554', 'c0039239', 'c0019079', 'c0151907', 'c0016382', 'c0023530', 'c0031350', 'c0085593', 'c0853149', 'c0001925', 'c0002871', 'c0011991', 'c0013428', 'c0151472', 'c0009676', 'c0151828', 'c0852911', 'c0151911', 'c0151827', 'c0001824', 'c0007820', 'c0011168', 'c0043352', 'c0035455', 'c0004134']"
db00530,"['db00530', 'db00317']","['db00530', 'db00530', 'db00317', 'c0015672', 'c0038362', 'c0014518', 'c0019212', 'c0876973', 'c0151905', 'c0023895', 'c0041969', 'c0003123', 'c0018681', 'c0234894', 'c0518015', 'c0004604', 'c0017178', 'c1565489', 'c2937358', 'c0085641', 'c0851341', 'c1258215', 'c0030578', 'c0339293', 'c0022568', 'c0018926', 'c0022660', 'c0085605', 'c0015967', 'c0035078', 'c0027697', 'c0234909', 'c0019080', 'c0024115', 'c0038325', 'c0178298', 'c0948807', 'c0030305', 'c0442874', 'c0221021', 'c0012833', 'c0021845', 'c0025061', 'c0235974', 'c2609319', 'c0242656', 'c0948586', 'c0038454', 'c0021368', 'c0022575', 'c0035854', 'c0016436', 'c0016204', 'c0003862', 'c0085593', 'c0009806', 'c0424790', 'c0239571', 'c0025222', 'c0241157', 'c0041657', 'c0009319', 'c0856554', 'c0003467', 'c0042963', 'c0002878', 'c0151763', 'c0162834', 'c0151664', 'c0030922', 'c0231528', 'c0035410', 'c0237849', 'c0043096', 'c0033687', 'c0085932', 'c0019572', 'c0948089', 'c0917801', 'c0026858', 'c0013604', 'c0011168', 'c0011991', 'c0010200', 'c0000737', 'c0003811', 'c0010043', 'c0015230', 'c0007642', 'c0027765', 'c0013404', 'c0041834', 'c0011603', 'c0009450', 'c0151908', 'c0027497', 'c0013395', 'c0036974', 'c0206062', 'c0009782', 'c0020621', 'c0018932', 'c0267792', 'c0032285', 'c0034069', 'c0035222', 'c0042164', 'c0314719', 'c0234233', 'c0030193', 'c0235378', 'c0687713', 'c0015397', 'c0002170', 'c0006272', 'c0027339', 'c0235896', 'c0011570', 'c0033774', 'c0042075', 'c0206061', 'c0026848', 'c0162429', 'c0333355', 'c0017152', 'c0027947', 'c0948594', 'c0004093', 'c0702166', 'c0232462', 'c0017181', 'c0019158', 'c0039070', 'c0014742', 'c0009763', 'c0221245', 'c0014591', 'c0040034', 'c0919924', 'c0149871', 'c0007222', 'c0037274', 'c0030920', 'c0011175', 'c1384353', 'c0031117', 'c0687133', 'c0027051', 'c0151825', 'c0494165', 'c0022116', 'c0243026', 'c0008031', 'c0004936', 'c0005758']"
