e1,e2,all
db00119,"['db00119', 'db00551']","['db00119', 'db00119', 'db00551']"
db00120,"['db00120', 'db00949', 'db00168', 'db01365', 'db02959', 'db00182', 'db01037', 'db01255', 'db06770']","['db00120', 'db00120', 'db00949', 'db00168', 'db01365', 'db02959', 'db00182', 'db01037', 'db01255', 'db06770']"
db00121,"['db00121', 'db00166']","['db00121', 'db00121', 'db00166']"
db00122,"['db00122', 'db00411']","['db00122', 'db00122', 'db00411', 'c0151735']"
db00123,"['db00123', 'db01255', 'db00149']","['db00123', 'db00123', 'db01255', 'db00149']"
db00125,"['db00125', 'db00123']","['db00125', 'db00125', 'db00123', 'c0027497', 'c0020580', 'c0008301', 'c0002895', 'c0392386', 'c0278134', 'c0151799', 'c0042963', 'c0028643', 'c0038990', 'c0232462', 'c0006114', 'c0002792', 'c0750876', 'c0018681', 'c0023380', 'c0151735', 'c0027429', 'c0543467', 'c0221201', 'c0020458', 'c0020517', 'c0039231', 'c0011603', 'c0027540', 'c0549433', 'c0015376', 'c0003123', 'c0018965', 'c1527311', 'c0015230', 'c0521591', 'c0237849', 'c1168149', 'c0016382', 'c0038999']"
db00128,"['db00128', 'db00149', 'db00123', 'db06775', 'db00160', 'db00129']","['db00128', 'db00128', 'db00149', 'db00123', 'db06775', 'db00160', 'db00129']"
db00129,"['db00129', 'db00125', 'db00160', 'db00149', 'db00123']","['db00129', 'db00129', 'db00125', 'db00160', 'db00149', 'db00123']"
db00130,"['db00130', 'db00155', 'db00129', 'db00149', 'db00133', 'db01080', 'db00128', 'db00174', 'db00151', 'db00125', 'db00143', 'db06775', 'db00123', 'db00134', 'db00138']","['db00130', 'db00130', 'db00155', 'db00129', 'db00149', 'db00133', 'db01080', 'db00128', 'db00174', 'db00151', 'db00125', 'db00143', 'db06775', 'db00123', 'db00134', 'db00138', 'c0042769', 'c1443060', 'c0008031', 'c0030305', 'c0042373', 'c0231528', 'c0018681', 'c0039971', 'c0011175', 'c0030193', 'c0162429', 'c0234215', 'c0015672', 'c2047937', 'c0155862', 'c0042963', 'c0243026', 'c0424790', 'c0011570', 'c0687713', 'c0004604', 'c0013604', 'c0151828', 'c0004936', 'c0015967', 'c0034186', 'c0033774', 'c0341212', 'c0041969', 'c0034886', 'c2242737', 'c0700590', 'c0043352', 'c0027497', 'c0020458', 'c0027339', 'c0035455', 'c0022650', 'c0004093', 'c0004623', 'c0003862', 'c0006840', 'c0024902', 'c0151735', 'c0553713', 'c0086565', 'c0026946', 'c0016204', 'c0009450', 'c0011603', 'c0031350', 'c0009806', 'c0852922', 'c0392525', 'c0010346', 'c0917801', 'c0000737', 'c0019112', 'c0023067', 'c0232726', 'c0392025', 'c0038358', 'c0000731', 'c0348801', 'c0231218', 'c0020517', 'c0012833', 'c0015230', 'c0085593', 'c0031117', 'c0948594', 'c0042075']"
db00131,"['db00131', 'db01073', 'db01280', 'db03147', 'db00242', 'db00811', 'db06213', 'db00171', 'db00987', 'db00631', 'db00928', 'db00300', 'db00194', 'db00640']","['db00131', 'db00131', 'db01073', 'db01280', 'db03147', 'db00242', 'db00811', 'db06213', 'db00171', 'db00987', 'db00631', 'db00928', 'db00300', 'db00194', 'db00640']"
